Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Application,Category,Action,Rule ID
2025-11-02T07:32:55.350911400Z,10.146.107.64,192.168.1.215,14072,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:32:55.350911400Z,10.206.14.130,192.168.1.69,15643,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.161.217.139,192.168.1.147,10602,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.80.171.63,192.168.1.90,13032,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.24.25.193,192.168.1.228,29936,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.204.100.252,192.168.1.133,16462,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.182.24.24,192.168.1.131,34572,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.67.245.189,192.168.1.16,39557,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.30.2.137,192.168.1.90,34388,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:32:55.350911400Z,10.66.154.234,192.168.1.8,16248,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.218.174.213,192.168.1.196,3987,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.57.132.177,192.168.1.33,15098,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.42.127.221,192.168.1.0,15834,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.221.179.59,192.168.1.108,11303,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:32:55.350911400Z,10.18.123.149,192.168.1.212,33509,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.81.185.0,192.168.1.3,4917,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:32:55.350911400Z,10.200.12.49,192.168.1.137,36642,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:32:55.350911400Z,10.140.240.237,192.168.1.242,21264,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.165.56.134,192.168.1.223,8044,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.213.44.249,192.168.1.185,31074,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.78.5.218,192.168.1.96,39681,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:32:55.350911400Z,10.44.114.72,192.168.1.42,29079,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.114.151.7,192.168.1.159,19030,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:32:55.350911400Z,10.167.153.67,192.168.1.41,19409,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:32:55.350911400Z,10.38.114.239,192.168.1.69,40188,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.37.41.21,192.168.1.9,12307,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:32:55.350911400Z,10.87.37.182,192.168.1.237,13989,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:32:55.350911400Z,10.113.238.203,192.168.1.59,29313,22,UDP,SSH,File Transfer,BLOCK,3
