Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Application,Category,Action,Rule ID
2025-11-02T07:28:08.076499100Z,10.47.125.227,192.168.1.210,13685,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.141.89.230,192.168.1.0,25164,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.65.203.186,192.168.1.49,5075,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.144.129.169,192.168.1.236,28797,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.192.121.133,192.168.1.161,17115,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.248.245.62,192.168.1.168,22996,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.253.62.5,192.168.1.87,21932,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.142.133.211,192.168.1.45,2559,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.54.126.92,192.168.1.176,8515,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.163.209.190,192.168.1.50,27082,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.92.203.144,192.168.1.154,36798,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.163.40.144,192.168.1.132,34788,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.190.235.148,192.168.1.74,7258,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.140.195.48,192.168.1.40,26394,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.111.126.52,192.168.1.111,20149,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.211.107.253,192.168.1.182,8793,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.155.151.136,192.168.1.71,22349,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.131.32.71,192.168.1.80,9904,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.59.204.204,192.168.1.53,30461,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.165.78.156,192.168.1.20,5450,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.189.148.211,192.168.1.204,2694,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.58.148.166,192.168.1.6,18167,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.177.255.84,192.168.1.104,1026,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.77.67.165,192.168.1.184,4580,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.123.28.223,192.168.1.204,28721,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.1.42.96,192.168.1.234,25532,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.242.7.199,192.168.1.65,30045,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.149.139.59,192.168.1.94,6512,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.48.101.220,192.168.1.57,12433,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.46.9.49,192.168.1.211,4492,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.206.197.111,192.168.1.32,34483,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.39.251.136,192.168.1.78,7805,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.235.57.70,192.168.1.30,33874,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.239.75.133,192.168.1.80,19250,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.167.136.152,192.168.1.199,29367,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.27.193.246,192.168.1.228,37782,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.139.173.168,192.168.1.179,20639,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.9.156.221,192.168.1.47,4601,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.126.71.13,192.168.1.247,23271,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.103.124.23,192.168.1.30,30471,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.89.100.31,192.168.1.23,7310,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.243.241.7,192.168.1.145,10382,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.89.254.247,192.168.1.223,8305,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.136.89.176,192.168.1.207,15484,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.22.244.25,192.168.1.245,25229,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.186.250.12,192.168.1.69,31837,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.241.149.53,192.168.1.86,15743,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.157.145.160,192.168.1.223,24928,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.26.10.160,192.168.1.38,21382,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.109.183.146,192.168.1.118,26706,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.164.40.101,192.168.1.122,9407,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.74.126.21,192.168.1.243,9382,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.50.215.189,192.168.1.38,5920,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.162.157.146,192.168.1.138,3993,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.213.181.179,192.168.1.114,33179,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.212.16.191,192.168.1.47,13609,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.132.197.226,192.168.1.181,34910,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.69.129.102,192.168.1.35,7194,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.58.189.207,192.168.1.177,27328,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.252.215.203,192.168.1.120,22885,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.237.158.20,192.168.1.186,15372,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.51.131.43,192.168.1.95,5580,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.154.66.159,192.168.1.84,29786,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.188.66.8,192.168.1.154,9793,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.201.53.76,192.168.1.101,39657,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.18.173.42,192.168.1.96,38097,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.110.181.37,192.168.1.14,24469,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.192.120.208,192.168.1.228,4329,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.253.77.27,192.168.1.32,18205,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.248.65.136,192.168.1.138,18333,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.53.211.162,192.168.1.21,39767,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.28.138.244,192.168.1.235,31049,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.197.28.127,192.168.1.21,2515,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.233.158.80,192.168.1.69,39692,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.89.67.193,192.168.1.237,30110,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.96.27.149,192.168.1.133,28493,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.212.144.172,192.168.1.222,15545,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.96.34.149,192.168.1.223,31642,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.206.123.97,192.168.1.150,29571,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.27.98.210,192.168.1.202,18874,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.64.23.10,192.168.1.39,12218,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.129.75.16,192.168.1.185,16289,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.74.220.104,192.168.1.141,23662,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.14.112.132,192.168.1.32,37425,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.72.172.98,192.168.1.145,9025,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.189.27.174,192.168.1.27,10933,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.242.105.0,192.168.1.220,2605,53,UDP,DNS,Network,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.44.20.102,192.168.1.54,28328,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.170.120.115,192.168.1.149,31193,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.152.74.240,192.168.1.157,31317,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.76.88.83,192.168.1.89,3452,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.60.223.91,192.168.1.240,13002,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.227.190.180,192.168.1.23,23988,22,TCP,SSH,File Transfer,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.100.208.111,192.168.1.140,22407,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.137.170.30,192.168.1.237,31289,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.175.71.100,192.168.1.130,34555,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.62.4.46,192.168.1.57,32767,80,UDP,HTTP Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.170.102.54,192.168.1.141,38966,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.173.75.94,192.168.1.19,13674,80,TCP,HTTP Web,Web,ALLOW,1
2025-11-02T07:28:08.076499100Z,10.35.6.34,192.168.1.5,38893,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.123.229.145,192.168.1.245,34388,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.213.236.184,192.168.1.239,2288,22,UDP,SSH,File Transfer,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.51.184.155,192.168.1.200,33996,53,TCP,DNS,Network,BLOCK,-1
2025-11-02T07:28:08.076499100Z,10.46.114.182,192.168.1.145,35077,443,UDP,HTTPS Web,Web,BLOCK,3
2025-11-02T07:28:08.076499100Z,10.15.200.121,192.168.1.93,6418,443,TCP,HTTPS Web,Web,ALLOW,2
2025-11-02T07:28:08.076499100Z,10.102.40.54,192.168.1.110,22020,53,UDP,DNS,Network,BLOCK,3
